".Garfield County, Colorado","62,271"
".Gilpin County, Colorado","5,891"
".Grand County, Colorado","15,769"
".Gunnison County, Colorado","17,267"
".Hinsdale County, Colorado",775
".Huerfano County, Colorado","7,082"
".Jackson County, Colorado","1,302"
".Jefferson County, Colorado","576,143"
".Kiowa County, Colorado","1,424"
".Kit Carson County, Colorado","6,961"
".Lake County, Colorado","7,327"
".La Plata County, Colorado","56,607"
".Larimer County, Colorado","366,778"
".Las Animas County, Colorado","14,327"
".Lincoln County, Colorado","5,510"
".Logan County, Colorado","20,823"
".Mesa County, Colorado","158,636"
".Mineral County, Colorado",931
".Moffat County, Colorado","13,177"
".Montezuma County, Colorado","26,468"
".Montrose County, Colorado","43,811"
".Morgan County, Colorado","29,239"
".Otero County, Colorado","18,303"
".Ouray County, Colorado","5,100"
".Park County, Colorado","17,939"
".Phillips County, Colorado","4,449"
".Pitkin County, Colorado","16,876"
".Prowers County, Colorado","11,854"
".Pueblo County, Colorado","169,544"
".Rio Blanco County, Colorado","6,569"
".Rio Grande County, Colorado","11,325"
".Routt County, Colorado","25,007"
".Saguache County, Colorado","6,623"
".San Juan County, Colorado",803
".San Miguel County, Colorado","8,003"
".Sedgwick County, Colorado","2,295"
".Summit County, Colorado","30,565"
".Teller County, Colorado","24,857"
".Washington County, Colorado","4,812"
".Weld County, Colorado","350,176"
".Yuma County, Colorado","9,899"
".Capitol Planning Region, Connecticut","981,447"
".Greater Bridgeport Planning Region, Connecticut","327,286"
".Lower Connecticut River Valley Planning Region, Connecticut","176,622"
".Naugatuck Valley Planning Region, Connecticut","454,083"
".Northeastern Connecticut Planning Region, Connecticut","96,196"
".Northwest Hills Planning Region, Connecticut","113,234"
".South Central Connecticut Planning Region, Connecticut","573,244"
".Southeastern Connecticut Planning Region, Connecticut","280,403"
".Western Connecticut Planning Region, Connecticut","623,690"
".Kent County, Delaware","186,946"
".New Castle County, Delaware","575,494"
".Sussex County, Delaware","255,956"
".District of Columbia, District of Columbia","671,803"
".Alachua County, Florida","284,030"
".Baker County, Florida","27,803"
".Bay County, Florida","185,134"
".Bradford County, Florida","27,313"
".Brevard County, Florida","630,693"
".Broward County, Florida","1,947,026"
".Calhoun County, Florida","13,464"
".Charlotte County, Florida","202,661"
".Citrus County, Florida","162,529"
".Clay County, Florida","226,589"
".Collier County, Florida","397,994"
".Columbia County, Florida","71,908"
".DeSoto County, Florida","35,312"
".Dixie County, Florida","17,124"
".Duval County, Florida","1,016,536"
".Escambia County, Florida","324,878"
".Flagler County, Florida","126,705"
".Franklin County, Florida","12,498"
".Gadsden County, Florida","43,403"
".Gilchrist County, Florida","18,992"
".Glades County, Florida","12,454"
".Gulf County, Florida","15,314"
